,activity,location,GWP
0,concrete production 20MPa,RoW,193.8539105051557
1,concrete production 20MPa,ZA,229.71912735575796
2,concrete production 20MPa,North America without Quebec,217.5524366506636
3,concrete production 20MPa,CA-QC,234.18799189342727
4,Charcrete production 5%,SE,177.64562302249578
5,Charcrete production 7.5%,SE,173.55581976132007
6,Charcrete production 10%,SE,169.3747240667536
7,Charcrete production 5%,SE,177.64562302249578
8,Charcrete production 7.5%,SE,173.55581976132007
9,Charcrete production 10%,SE,169.3747240667536
