Étiquettes de lignes;Moyenne de GWP;;;
cement, all types to generic market for cement, unspecified;0,768689371;;Colonne1;Colonne2
market for cement, alternative constituents 21-35%;0,688379896;;market for cement, blast furnace slag 81-95%;0,265753979
market for cement, alternative constituents 45%;0,602291691;;market for cement, blast furnace slag 70-100%;0,332878792
market for cement, alternative constituents 6-20%;0,761096747;;market for cement, blast furnace slag 66-80%;0,370073812
market for cement, blast furnace slag 18-30% and 18-30% other alternative constituents;0,506860403;;market for cement, blast furnace slag 31-50% and 31-50% other alternative constituents;0,41149578
market for cement, blast furnace slag 21-35%;0,749324839;;market for cement, blast furnace slag 35-70%;0,437825936
market for cement, blast furnace slag 25-70%;0,602028814;;market for cement, blast furnace slag 18-30% and 18-30% other alternative constituents;0,506860403
market for cement, blast furnace slag 31-50% and 31-50% other alternative constituents;0,41149578;;market for cement, pozzolana and fly ash 36-55%;0,515111491
market for cement, blast furnace slag 35-70%;0,437825936;;market for cement, blast furnace slag 36-65%;0,561651531
market for cement, blast furnace slag 36-65%;0,561651531;;market for cement, blast furnace slag 40-70%;0,601922047
market for cement, blast furnace slag 40-70%;0,601922047;;market for cement, blast furnace slag 25-70%;0,602028814
market for cement, blast furnace slag 5-25%;0,835632755;;market for cement, alternative constituents 45%;0,602291691
market for cement, blast furnace slag 6-20%;0,814109423;;market for cement, pozzolana and fly ash 15-50%;0,602708154
market for cement, blast furnace slag 6-34%;0,670148829;;market for cement, pozzolana and fly ash 25-35%;0,658596269
market for cement, blast furnace slag 66-80%;0,370073812;;market for cement, blast furnace slag 6-34%;0,670148829
market for cement, blast furnace slag 70-100%;0,332878792;;market for cement, pozzolana and fly ash 11-35%;0,679006321
market for cement, blast furnace slag 81-95%;0,265753979;;market for cement, portland fly ash cement 21-35%;0,685307208
market for cement, limestone 21-35%;0,716731912;;market for cement, alternative constituents 21-35%;0,688379896
market for cement, limestone 6-10%;0,849065604;;market for cement, pozzolana and fly ash 15-40%;0,694822009
market for cement, limestone 6-20%;0,826611201;;market for cement, limestone 21-35%;0,716731912
market for cement, Portland;0,885446207;;market for cement, sulphate resistant;0,740919542
market for cement, portland fly ash cement 21-35%;0,685307208;;market for cement, pozzolana and fly ash 6-14%;0,746063406
market for cement, portland fly ash cement 6-20%;0,779090861;;market for cement, blast furnace slag 21-35%;0,749324839
market for cement, pozzolana and fly ash 11-35%;0,679006321;;market for cement, alternative constituents 6-20%;0,761096747
market for cement, pozzolana and fly ash 15-40%;0,694822009;;cement, all types to generic market for cement, unspecified;0,768689371
market for cement, pozzolana and fly ash 15-50%;0,602708154;;market for cement, unspecified;0,770486043
market for cement, pozzolana and fly ash 25-35%;0,658596269;;market for cement, portland fly ash cement 6-20%;0,779090861
market for cement, pozzolana and fly ash 36-55%;0,515111491;;market for cement, blast furnace slag 6-20%;0,814109423
market for cement, pozzolana and fly ash 5-15%;0,852935099;;market for cement, limestone 6-20%;0,826611201
market for cement, pozzolana and fly ash 6-14%;0,746063406;;market for cement, blast furnace slag 5-25%;0,835632755
market for cement, sulphate resistant;0,740919542;;market for cement, limestone 6-10%;0,849065604
market for cement, unspecified;0,770486043;;market for cement, pozzolana and fly ash 5-15%;0,852935099
Total général;0,678645891;;market for cement, Portland;0,885446207
